Player_id,player_name,base_price_in_lakhs,sold_price,retired_player,retained_players,retained_team,sold,overseas,batsman,bowler,all_rounder,batting_hand,bowling_hand,spinner_or_medium_pacer,is_wicket_keeper,batting_average,powerplay_runs,powerplay_ballfaced,powerplay_strikerate,midover_runs,midover_ballfaced,midover_strikerate,endover_runs,endover_ballfaced,endover_strikerate,0s,1s,2s,3s,4s,6s,outs,powerplay_boundary,end_over_boundary,30s,50s,100s,deliveries,wickets,overs,total_runs_conceded,bowling_economy,bowling_strikerate,powerplay_deliveries,powerplay_wickets,powerplay_runs_conceded,powerplay_dotballs,powerplay_strike_rate,powerplay_economy,midover_deliveries,midover_wickets,midover_runs_conceded,mid_over_dotballs,mid_over_strikerate,midover_economy,endover_deliveries,endover_wickets,endover_runs_conceded,endover_dot_balls,endover_strike_rate,endover_economy,DC_batting_pf,DC_bowling_pf,RCB_batting_pf,RCB_bowling_pf,KKR_batting_pf,KKR_bowling_pf,CSK_batting_pf,CSK_bowwling_pf,GT_batting_pf,GT_bowling_pf,PK_batting_pf,PK_bowling_pf,MI_batting_pf,MI_bowling_pf,LSG_batting_pf,LSG_bowling_pf,RR_batting_pf,RR_bowling_pf,SRH_batting_pf,SRH_bowling_pf,pf
188,Moeen Ali,200,800,0,1,CSK,0,1,0,0,1,0,1,S,0,0.085952380952381,0.117674636661978,0.118847539015606,0.422566666666667,0.303891290920321,0.289405684754522,0.4881,0.152284263959391,0.143377885783718,0.444925,0.251072961373391,0.197819314641745,0.142222222222222,0,0.192118226600985,0.33974358974359,0.381443298969072,0.074561403508772,0.115384615384615,0.344827586206897,0.147058823529412,0,0.228525121555916,0.180451127819549,0.228710462287105,0.211393765675385,0.3925,0.097240038068441,0.054088050314465,0,0.032921810699589,0.050761421319797,0,0.248333333333333,0.291418355184744,0.269662921348315,0.318857142857143,0.262578616352201,0.089163057269108,0.461590296495957,0.014613778705637,0,0,0.017605633802817,0,0,0.562015503906977,0.333333333333333,0.483246024815725,0.294520547928571,0,0,0,0,0,0,0.483246024815725,0.294520547928571,0.426495016611296,0.350427350444444,0.472583654051055,0.41071428575,0.355168752135231,0.533936651529412,0.465583913341067,0.223214285714286,1.57046923916074
189,Munaf Patel,50,50,1,0,,0,0,0,1,0,1,1,M,0,0,0,0,0,0,0,0,0,0.001215066828676,0,0,0,0,0,0,0,0.010309278350516,0,0,0,0,0,0.017017828200973,0.007518796992481,0.017031630170316,0,0,0.173790706335085,0.015094339622642,0,0,0.00761421319797,0,0,0.017878426698451,0.01123595505618,0,0.011006289308176,0.131250820317627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Mohit Sharma,50,50,0,1,GT,0,0,0,1,0,1,1,M,0,0.009960317460317,0,0,0,0.022235948116121,0.026701119724376,0.3871,0.044960116026106,0.076549210206561,0.246025,0.03862660944206,0.033489096573209,0.017777777777778,0.066666666666667,0.019704433497537,0.012820512820513,0.11340206185567,0,0.030769230769231,0,0,0,0.328200972447326,0.263157894736842,0.328467153284671,0.430670010748835,0.55625,0.095750403442711,0.40125786163522,0.323529411764706,0.451646090534979,0.307106598984772,0.118150336117336,0.458888888888889,0.118593563766389,0.067415730337079,0.164571428571429,0.078616352201258,0.145119656997856,0.584905660377358,0.298538622129436,0.272727272727273,0.374605678233438,0.242957746478873,0.264833333333333,0.385985288424313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464256381602544
191,Marlon Samuels,20,20,1,0,,0,1,1,0,0,1,1,S,0,0.023809523809524,0.000468823253633,0.002400960384154,0.083333333333333,0.017912291537987,0.02411714039621,0.345233333333333,0,0,0,0.01824034334764,0.007788161993769,0.008888888888889,0,0.002463054187192,0.012820512820513,0.030927835051546,0,0,0,0,0,0.007293354943274,0,0.007299270072993,0,0,0,0,0,0,0,0,0,0.01072705601907,0,0,0.007861635220126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47075730526781
192,Marcus Stoinis,100,1000,0,1,LSG,0,1,0,0,1,1,1,M,0,0.067063492063492,0.069854664791374,0.081032412965186,0.3679,0.226065472513897,0.254091300602928,0.413566666666667,0.447425670775925,0.465370595382746,0.40275,0.265021459227468,0.286604361370716,0.275555555555556,0.066666666666667,0.211822660098522,0.307692307692308,0.422680412371134,0.06140350877193,0.461538461538462,0.310344827586207,0.117647058823529,0,0.273500810372771,0.255639097744361,0.272506082725061,0.369401648154783,0.575625,0.08213679811313,0.184905660377359,0.235294117647059,0.199588477366255,0.104060913705584,0.074882868201263,0.44,0.233015494636472,0.157303370786517,0.331428571428571,0.139937106918239,0.122194513715711,0.599730458221024,0.130480167014614,0.181818181818182,0.202681388012618,0.109154929577465,0.173666666666667,0.477739063104917,0,0,0.528255528255528,0.412946428571429,0.357541899441341,0,0.404809462283546,0.526717557243867,0.568323888558431,0.532502540973971,0.528255528255528,0.412946428571429,0.456686666362126,0.384615384611111,0,0,0.446047280160142,0,0.32830626450116,0,1.59187596681135
193,Mitchell Marsh,200,650,0,1,DC,0,1,0,0,1,1,1,M,0,0.087976190476191,0.071729957805907,0.062424969987995,0.4904,0.040148239654108,0.05770887166236,0.323366666666667,0.034807831762147,0.040097205346294,0.363625,0.084763948497854,0.063084112149533,0.04,0.066666666666667,0.049261083743842,0.08974358974359,0.092783505154639,0.052631578947369,0.023076923076923,0.03448275862069,0.058823529411765,0,0.054700162074554,0.06015037593985,0.05352798053528,0.054819061268363,0.434375,0.069847312450863,0.074213836477988,0.117647058823529,0.036008230452675,0.088832487309645,0.06009370543899,0.197777777777778,0.033969010727056,0.033707865168539,0.045142857142857,0.023584905660377,0.083125519534497,0.560646900269542,0.019832985386221,0.015151515151515,0.030757097791798,0.014084507042254,0.316666666666667,0.476964769647696,0,0,0,0,0,0,0,0,0,0,0,0,0.373115256810631,0.097222222222222,0,0,0,0,0,0,1.04842888636502
194,Mahendra Dhoni,200,1200,0,1,CSK,0,0,1,0,0,1,1,M,1,0.092738095238095,0.032817627754337,0.056422569027611,0.248233333333333,0.403953057442866,0.590869939707149,0.3178,1,1,0.4189,0.586909871244635,0.53816199376947,0.56,0.4,0.317733990147783,0.641025641025641,0.597938144329897,0.017543859649123,1,0.517241379310345,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0,0,0,0,0.454545454545455,0,0.366358171179402,0,0.089345172031077,0,0.287366548042705,0,0.423599602204176,0,2.09554211376863
195,Matthew Wade,200,240,0,1,GT,0,1,1,0,0,0,0,,1,0.074206349206349,0.06516643225504,0.061224489795918,0.454233333333333,0.029647930821495,0.037037037037037,0.3721,0,0,0,0.068669527896996,0.033489096573209,0.035555555555556,0,0.059113300492611,0.012820512820513,0.092783505154639,0.087719298245614,0,0.103448275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610509776536313,0,0,0,0.273263687913689,0,0,0,0.343515963704319,0,0,0,0.34801304866548,0,0,0,0.995354045616217
196,Mandeep Singh,50,50,0,0,,0,0,0,0,1,1,0,,1,0.068650793650794,0.090014064697609,0.1062424969988,0.361566666666667,0.179740580605312,0.231696813092162,0.3606,0.226976069615664,0.238153098420413,0.399225,0.227467811158798,0.224299065420561,0.231111111111111,0.133333333333333,0.160098522167488,0.147435897435897,0.371134020618557,0.105263157894737,0.161538461538462,0.241379310344828,0.058823529411765,0,0.004862236628849,0,0.004866180048662,0,0,0,0,0,0,0,0,0,0.00715137067938,0,0,0.001572327044025,0,0,0,0,0,0,0,0,0,0,0.342927342874693,0,0,0,0,0,0,0,0.342927342874693,0,0,0,0.411130489900111,0,0.334205568327402,0,0,0,1.28754817523605
197,Mohammad Nabi,100,100,0,0,,0,1,0,0,1,1,1,S,0,0.045515873015873,0.0028129395218,0.001200480192077,1,0.03953057442866,0.039621016365203,0.463766666666667,0.090645395213923,0.094775212636695,0.40065,0.041845493562232,0.041277258566978,0.031111111111111,0.066666666666667,0.039408866995074,0.057692307692308,0.134020618556701,0.004385964912281,0.092307692307692,0.03448275862069,0,0,0.139789303079417,0.097744360902256,0.141119221411192,0.078466499462558,0.23625,0.109819174907932,0.19622641509434,0.205882352941176,0,0.17258883248731,0.090812792829497,0,0.101311084624553,0.044943820224719,0.125142857142857,0.084905660377359,0.185938662116638,0.52088948787062,0.01356993736952,0.03030303030303,0,0.01056338028169,0.108333333333333,0,1,1,0,0,0,0,0.491466548622949,0.585241730270963,0,0,0,0,0,0,0.264150943396226,0.458333333333333,0,0,0,0,1.64227144884692
